date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:00:40	168/168	---MCZ	200	added ('OK')	text/plain	etag:W/%225e2bc4d8-c6%22	http://www.fbadsformula.co/robots.txt		(from http://www.fbadsformula.co/assets/lander.css)
15:00:40	162/162	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2027%20Jan%202020%2009:30:38%20GMT	https://assets.clickfunnels.com/templates/master-cf-template/css/master-cf.css	C:/My%20Web%20Sites/funnel%20copy/assets.clickfunnels.com/templates/master-cf-template/css/master-cf.50.delayed	(from http://www.fbadsformula.co/assets/.../fonts/vjs.svg)
15:00:41	6773/6773	---MCZ	200	added ('OK')	text/css	etag:W/%223e7114e9a37d5aad422dafab4abb7dae%22	https://images.clickfunnels.com/old-public-templates/master-cf-template/css/master-cf.css	C:/My%20Web%20Sites/funnel%20copy/images.clickfunnels.com/old-public-templates/master-cf-template/css/master-cf.css	(from http://www.fbadsformula.co/assets/.../fonts/vjs.svg)
15:00:41	5273/5273	---M--	200	added ('OK')	image/png	etag:%225e2bc4d8-1499%22	http://www.fbadsformula.co/images/logo-cf-large.png	C:/My%20Web%20Sites/funnel%20copy/www.fbadsformula.co/images/logo-cf-large.png	(from http://www.fbadsformula.co/assets/.../fonts/vjs.svg)
15:00:42	4986/4986	---MCZ	200	added ('OK')	text/javascript	date:Mon,%2027%20Jan%202020%2009:30:40%20GMT	https://static.cloudflareinsights.com/beacon.min.js	C:/My%20Web%20Sites/funnel%20copy/static.cloudflareinsights.com/beacon.min.js	(from https://www.fbadsformula.co/;path=/)
15:00:42	354/354	---M--	200	added ('OK')	image/png	etag:%22908715723f0ff6e1c97d768977c1d1b5%22	https://images.clickfunnels.com/old-public-templates/master-cf-template/images/email-input-1.png	C:/My%20Web%20Sites/funnel%20copy/images.clickfunnels.com/old-public-templates/master-cf-template/images/email-input-1.png	(from https://images.clickfunnels.com/old-public-templates/master-cf-template/css/master-cf.css)
15:00:43	290/290	---M--	200	added ('OK')	image/png	etag:%22643f0330c9c80d86e1d395a264c9170d%22	https://images.clickfunnels.com/old-public-templates/master-cf-template/images/name-input-1.png	C:/My%20Web%20Sites/funnel%20copy/images.clickfunnels.com/old-public-templates/master-cf-template/images/name-input-1.png	(from https://images.clickfunnels.com/old-public-templates/master-cf-template/css/master-cf.css)
15:00:43	3569/3569	---M--	200	added ('OK')	image/png	etag:%22c1b7319e0cd36dc891562273b8cfa9f4%22	https://images.clickfunnels.com/old-public-templates/master-cf-template/images/email-input-2.png	C:/My%20Web%20Sites/funnel%20copy/images.clickfunnels.com/old-public-templates/master-cf-template/images/email-input-2.png	(from https://images.clickfunnels.com/old-public-templates/master-cf-template/css/master-cf.css)
15:00:44	3788/3788	---M--	200	added ('OK')	image/png	etag:%22a36f53f25055a3861b55d82e4ab0af7d%22	https://images.clickfunnels.com/old-public-templates/master-cf-template/images/name-input-2.png	C:/My%20Web%20Sites/funnel%20copy/images.clickfunnels.com/old-public-templates/master-cf-template/images/name-input-2.png	(from https://images.clickfunnels.com/old-public-templates/master-cf-template/css/master-cf.css)
15:00:44	1278/1278	---M--	200	added ('OK')	image/png	etag:%222d799e5350d727805d04eb4adf85f177%22	https://images.clickfunnels.com/old-public-templates/master-cf-template/images/icon-calendar.png	C:/My%20Web%20Sites/funnel%20copy/images.clickfunnels.com/old-public-templates/master-cf-template/images/icon-calendar.png	(from https://images.clickfunnels.com/old-public-templates/master-cf-template/css/master-cf.css)
15:00:44	1269/1269	---M--	200	added ('OK')	image/png	etag:%227f18fbf7aeee5206d89b4860544482d4%22	https://images.clickfunnels.com/old-public-templates/master-cf-template/images/icon-clock.png	C:/My%20Web%20Sites/funnel%20copy/images.clickfunnels.com/old-public-templates/master-cf-template/images/icon-clock.png	(from https://images.clickfunnels.com/old-public-templates/master-cf-template/css/master-cf.css)
15:00:45	1814/1814	---M--	200	added ('OK')	image/png	etag:%221c8d47399b47f0098ee1284eba5ec301%22	https://images.clickfunnels.com/old-public-templates/master-cf-template/images/icon-sms.png	C:/My%20Web%20Sites/funnel%20copy/images.clickfunnels.com/old-public-templates/master-cf-template/images/icon-sms.png	(from https://images.clickfunnels.com/old-public-templates/master-cf-template/css/master-cf.css)
